Username,Review,Media,Rating,Date
R***n,Proses cepat. Packing aman. Sesuai pesanan. Wanginya ternyata mirip hugo boss in motion dengan twist woody plus aroma jeruk yang lebih bold. Ketahanan standar. Dapat bonu...,"https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg, https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg",5,Lebih dari 1 tahun lalu
B***s,"pertama kali beli parfum lokal dengan kemasan yg mewah banget. agak ragu utk beli, coba kemasan mininya, akhirnya paling cocok sama si sumba.","https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg, https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg",5,Lebih dari 1 tahun lalu
Ismurtyanto,"pembelian kedua untuk varian ini, suka wanginya tahan lama, proses kirim dll tetap oke seperti biasa","https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg, https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg, https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg",5,Lebih dari 1 tahun lalu
D***i,Suka banget sama parfum sunset in sumba.. varian terwangi yg ada di project 1945.  And suprised banget dapat bonus 2 varian 5 Ml nya.. Sampe temen temen pada keracunan.....,"https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg, https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg",5,Lebih dari 1 tahun lalu
Rocky,"packing rapih dan dilapisi bubble wrap, aman jika kebanting dalam pengiriman. wangi enak. kemaren pas nyoba wanginya di stand PIM, dekat bakmi GM.  wangi yg saya suka, su...","https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg, https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg, https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg",5,2 bulan lalu
Yeriel,Ini pertama kalinya cocok sama aroma woody & spicy karena sebelumnya nyoba brand lain ga ada yang cocok. pas coba ini langsung pas.  next coba explore aroma-aroma bor...,"https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg, https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg",5,10 bulan lalu
A***n,"barang sesuai dengan kebutuhan, wangi nya menarik dan cocok dengan penggunaan sore -malam hari",,5,6 bulan lalu
Fahrizal,"Parfum lokal makin gak main-main! Tipe parfum yg cocok buat all day tapi jujur heavy ke night sih sebenernya buat aku. Biasanya ku suka yg manis, tapi baru kali ini suka...","https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg, https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg",5,1 bulan lalu
R***o,"Enak banget, oke cocok sama wanginya manteupp","https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg, https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg",5,7 bulan lalu
Ramlan,"Maaf telat confirm krn br dri luar kota brngx br smpt di unboxing,,,kemasan parfum terkesan mewah sprti unboxing HP hehehhehe,,,wangix sngt uniq dn segar bgt,,semoga arom...","https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg, https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg, https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg",5,Lebih dari 1 tahun lalu
